epoch,stage,lr,landm_weight,train_time_s,train_loss,train_reg,train_cls,train_landm,train_nme,train_acc,train_landm_acc,train_landm_acc_eyeL,train_landm_acc_eyeR,train_landm_acc_nose,train_landm_acc_mouthL,train_landm_acc_mouthR,train_pos_precision,train_pos_recall,train_pos_f1,train_neg_precision,train_neg_recall,val_time_s,val_loss,val_reg,val_cls,val_landm,val_nme,val_acc,val_landm_acc,val_landm_acc_eyeL,val_landm_acc_eyeR,val_landm_acc_nose,val_landm_acc_mouthL,val_landm_acc_mouthR,val_pos_precision,val_pos_recall,val_pos_f1,val_neg_precision,val_neg_recall,val_map50,val_map75,val_map
39,2,8.629977459615655e-06,1.0,321.5,11.554332,0.221378,0.607983,10.503592,0.034602,0.999573,0.95606,0.964336,0.963272,0.943791,0.955885,0.953019,0.915297,0.864185,0.889007,0.999731,0.999842,33.6,11.736311,0.219019,0.607775,10.690499,0.033998,0.999582,0.955741,0.96376,0.96363,0.943216,0.954239,0.95386,0.914599,0.870507,0.892008,0.999743,0.999839,,,
40,2,8.554632305580355e-06,1.0,317.1,11.497205,0.221071,0.606386,10.448678,0.034367,0.999573,0.95651,0.96448,0.96378,0.944745,0.955704,0.953843,0.915395,0.863999,0.888955,0.999731,0.999842,33.7,11.76258,0.218738,0.607668,10.717434,0.034147,0.999583,0.956111,0.964144,0.964036,0.943622,0.954488,0.954266,0.915858,0.869214,0.891927,0.99974,0.999841,,,
41,2,8.477618593053693e-06,1.0,321.2,11.429867,0.220341,0.605301,10.383883,0.034145,0.999574,0.957171,0.964987,0.964751,0.945261,0.95591,0.954949,0.915325,0.864494,0.889184,0.999732,0.999842,34.3,11.594039,0.217888,0.605335,10.552928,0.033546,0.999583,0.956943,0.964719,0.965074,0.944614,0.955807,0.954503,0.916998,0.868214,0.891939,0.999738,0.999844,,,
42,2,8.39897247257754e-06,1.0,319.3,11.371287,0.219112,0.60211,10.330952,0.033966,0.999575,0.95784,0.965391,0.964638,0.946195,0.957725,0.955254,0.915484,0.864874,0.88946,0.999732,0.999842,34.2,11.569469,0.218345,0.604638,10.52814,0.033467,0.999583,0.957381,0.964741,0.965018,0.94573,0.956179,0.955236,0.917101,0.868146,0.891952,0.999738,0.999844,,,
43,2,8.318730860952523e-06,1.0,319.4,11.301496,0.219856,0.602647,10.259138,0.033722,0.999573,0.958413,0.966039,0.9655,0.946833,0.958095,0.955599,0.91509,0.864247,0.888942,0.999731,0.999841,33.7,11.474915,0.215842,0.60232,10.44091,0.033151,0.999585,0.958033,0.965632,0.965604,0.946328,0.956789,0.955812,0.916179,0.870147,0.89257,0.999742,0.999842,,,
44,2,8.23693142390914e-06,1.0,318.1,11.254437,0.218056,0.600866,10.217459,0.033567,0.999574,0.958828,0.966288,0.965907,0.947651,0.958427,0.955867,0.915455,0.864604,0.889303,0.999732,0.999842,33.7,11.413368,0.215904,0.600338,10.381222,0.032953,0.999587,0.958705,0.965733,0.965852,0.948031,0.957285,0.956624,0.915856,0.871643,0.893203,0.999745,0.999841,,,
45,2,8.153612558427311e-06,1.0,326.9,11.170428,0.217835,0.598774,10.135985,0.033273,0.999576,0.95948,0.966844,0.966183,0.948213,0.959476,0.956684,0.915782,0.865094,0.889717,0.999733,0.999842,34.1,11.356031,0.215535,0.599384,10.325576,0.032757,0.999585,0.959014,0.965835,0.966021,0.948076,0.957792,0.957346,0.917732,0.868382,0.892375,0.999739,0.999845,,,
46,2,8.068813374712689e-06,1.0,349.0,11.116015,0.216112,0.596555,10.087236,0.03312,0.999576,0.959676,0.966713,0.966308,0.948645,0.960383,0.956333,0.915969,0.864984,0.889747,0.999732,0.999843,37.4,11.326826,0.214276,0.597153,10.30112,0.032693,0.999588,0.95967,0.966444,0.966517,0.949215,0.958469,0.957707,0.916809,0.871137,0.893389,0.999744,0.999843,,,
47,2,7.982573677838172e-06,1.0,384.8,11.067955,0.215352,0.594988,10.042263,0.032947,0.999578,0.960128,0.966712,0.967046,0.949339,0.959519,0.958027,0.916011,0.865887,0.890244,0.999734,0.999843,33.9,11.35907,0.21499,0.599748,10.329342,0.032816,0.999586,0.959822,0.966929,0.966799,0.94882,0.958514,0.958045,0.916003,0.870968,0.892918,0.999744,0.999841,,,
48,2,7.894933949059243e-06,1.0,322.4,11.01209,0.21501,0.594688,9.987381,0.032776,0.999576,0.960165,0.967233,0.966579,0.950036,0.958916,0.958063,0.915475,0.865409,0.889738,0.999733,0.999842,33.5,11.248873,0.213008,0.59582,10.227039,0.03243,0.999588,0.960464,0.966827,0.967194,0.950478,0.95892,0.958903,0.915714,0.872115,0.893383,0.999746,0.999841,,,
