epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
55,18109,0.69368,0.07233,0.05364,0.28976,0.0099,0.00917,0.98902,0.99021,0.99381,0.92212,0.9886,0.98766,0.9937,0.99366,0.45378,0.02152,0.00807,0.13947,0.00889,0,0.0035788,0.0035788,0.0035788
56,18357.1,0.69424,0.07041,0.05376,0.28817,0.00994,0,0.99071,0.9908,0.99386,0.92221,0.9898,0.98835,0.99375,0.99372,0.45355,0.02146,0.00807,0.13749,0.00888,0,0.00353167,0.00353167,0.00353167
57,18606,0.68956,0.07156,0.0543,0.28319,0.00988,0,0.99057,0.99002,0.99368,0.92315,0.98913,0.98818,0.99359,0.99356,0.45361,0.02141,0.00805,0.13834,0.00888,0,0.0034841,0.0034841,0.0034841
58,18855.2,0.68536,0.07178,0.05307,0.28058,0.00974,0.00319,0.99044,0.98929,0.99372,0.92352,0.98886,0.98772,0.99361,0.99358,0.45329,0.02135,0.00804,0.13791,0.00888,0,0.00343611,0.00343611,0.00343611
59,19103.6,0.68981,0.06911,0.05339,0.28799,0.00993,0,0.99186,0.98887,0.99373,0.92355,0.99028,0.98687,0.99362,0.99359,0.45329,0.02133,0.00801,0.13763,0.00887,0,0.00338772,0.00338772,0.00338772
60,19352,0.70269,0.07346,0.05397,0.29199,0.01004,0.03933,0.98941,0.98982,0.9938,0.92428,0.98784,0.98827,0.99368,0.99365,0.45232,0.02126,0.008,0.13786,0.00885,0,0.00333894,0.00333894,0.00333894
61,19601.4,0.6882,0.06905,0.0538,0.287,0.00982,0.00108,0.98967,0.98835,0.99376,0.92385,0.9881,0.98678,0.99364,0.99361,0.45235,0.02118,0.00798,0.13846,0.00885,0,0.00328982,0.00328982,0.00328982
62,19850.8,0.68433,0.0676,0.05207,0.28788,0.00976,0,0.99061,0.98639,0.99349,0.92276,0.98987,0.98437,0.9934,0.99338,0.45278,0.02112,0.00786,0.13926,0.00886,0,0.00324035,0.00324035,0.00324035
63,20100.1,0.68029,0.06904,0.05286,0.28378,0.00966,0.00054,0.98943,0.98862,0.99342,0.92258,0.98821,0.98718,0.99333,0.9933,0.45243,0.02106,0.00778,0.13884,0.00885,0,0.00319058,0.00319058,0.00319058
64,20348.7,0.67891,0.06884,0.05173,0.28108,0.00962,0,0.98786,0.98987,0.99351,0.92291,0.98667,0.98835,0.9934,0.99336,0.45228,0.021,0.00774,0.13893,0.00885,0,0.00314051,0.00314051,0.00314051
65,20598.2,0.67853,0.06778,0.05139,0.28004,0.00967,0,0.98707,0.98875,0.99339,0.92274,0.98582,0.98731,0.99329,0.99326,0.45228,0.0209,0.0077,0.14058,0.00885,0,0.00309017,0.00309017,0.00309017
66,20846.9,0.67604,0.06705,0.05192,0.27848,0.00964,0.00262,0.98734,0.9903,0.9933,0.92281,0.98603,0.98856,0.99318,0.99314,0.45199,0.02089,0.00769,0.13983,0.00884,0,0.00303958,0.00303958,0.00303958
67,21095.4,0.67258,0.06575,0.0518,0.27629,0.00961,0,0.98659,0.99167,0.99331,0.9233,0.9851,0.98992,0.99319,0.99316,0.45197,0.02085,0.00766,0.139,0.00885,0,0.00298877,0.00298877,0.00298877
